Índice;Data de Referência;Número Índice;Variação Diária (%);Variação no Mês (%);Variação no Ano (%);Variação 12 Meses (%)
IHFA;11/07/2008;1.039,70;-0,0365;-0,3489;4,0002;
IHFA;14/07/2008;1.041,14;0,1385;-0,2109;4,1442;
IHFA;15/07/2008;1.041,31;0,0163;-0,1946;4,1612;
IHFA;16/07/2008;1.041,80;0,0471;-0,1476;4,2102;
IHFA;17/07/2008;1.039,67;-0,2045;-0,3518;3,9972;
IHFA;18/07/2008;1.039,37;-0,0289;-0,3805;3,9672;
IHFA;21/07/2008;1.040,48;0,1068;-0,2741;4,0782;
IHFA;22/07/2008;1.039,82;-0,0634;-0,3374;4,0122;
IHFA;23/07/2008;1.039,48;-0,0327;-0,37;3,9782;
IHFA;24/07/2008;1.037,54;-0,1866;-0,5559;3,7841;
IHFA;25/07/2008;1.037,66;0,0116;-0,5444;3,7961;
IHFA;28/07/2008;1.038,34;0,0655;-0,4792;3,8641;
IHFA;29/07/2008;1.039,54;0,1156;-0,3642;3,9842;
IHFA;30/07/2008;1.042,63;0,2972;-0,0681;4,2932;
IHFA;31/07/2008;1.042,86;0,0221;-0,046;4,3163;
IHFA;01/08/2008;1.040,91;-0,187;-0,187;4,1212;
IHFA;04/08/2008;1.037,60;-0,318;-0,5044;3,7901;
IHFA;05/08/2008;1.037,88;0,027;-0,4775;3,8181;
IHFA;06/08/2008;1.039,43;0,1493;-0,3289;3,9732;
IHFA;07/08/2008;1.038,64;-0,076;-0,4047;3,8941;
IHFA;08/08/2008;1.038,11;-0,051;-0,4555;3,8411;
IHFA;11/08/2008;1.036,10;-0,1936;-0,6482;3,6401;
IHFA;12/08/2008;1.035,48;-0,0598;-0,7077;3,578;
IHFA;13/08/2008;1.034,49;-0,0956;-0,8026;3,479;
IHFA;14/08/2008;1.035,29;0,0773;-0,7259;3,559;
IHFA;15/08/2008;1.035,03;-0,0251;-0,7508;3,533;
IHFA;18/08/2008;1.034,13;-0,087;-0,8371;3,443;
IHFA;19/08/2008;1.034,86;0,0706;-0,7671;3,516;
IHFA;20/08/2008;1.037,45;0,2503;-0,5188;3,7751;
IHFA;21/08/2008;1.038,38;0,0896;-0,4296;3,8681;
IHFA;22/08/2008;1.038,60;0,0212;-0,4085;3,8901;
IHFA;25/08/2008;1.036,40;-0,2118;-0,6195;3,6701;
IHFA;26/08/2008;1.036,52;0,0116;-0,6079;3,6821;
IHFA;27/08/2008;1.037,24;0,0695;-0,5389;3,7541;
IHFA;28/08/2008;1.038,28;0,1003;-0,4392;3,8581;
IHFA;29/08/2008;1.038,23;-0,0048;-0,444;3,8531;
IHFA;01/09/2008;1.038,20;-0,0029;-0,0029;3,8501;
IHFA;02/09/2008;1.036,88;-0,1271;-0,13;3,7181;
IHFA;03/09/2008;1.035,37;-0,1456;-0,2755;3,567;
IHFA;04/09/2008;1.031,92;-0,3332;-0,6078;3,2219;
IHFA;05/09/2008;1.033,19;0,1231;-0,4854;3,349;
IHFA;08/09/2008;1.032,04;-0,1113;-0,5962;3,2339;
IHFA;09/09/2008;1.028,62;-0,3314;-0,9256;2,8918;
IHFA;10/09/2008;1.030,60;0,1925;-0,7349;3,0899;
IHFA;11/09/2008;1.032,20;0,1552;-0,5808;3,2499;
IHFA;12/09/2008;1.034,21;0,1947;-0,3872;3,451;
IHFA;15/09/2008;1.027,25;-0,673;-1,0576;2,7548;
IHFA;16/09/2008;1.025,32;-0,1879;-1,2435;2,5617;
IHFA;17/09/2008;1.018,10;-0,7042;-1,9389;1,8395;
IHFA;18/09/2008;1.018,45;0,0344;-1,9052;1,8745;
IHFA;19/09/2008;1.029,45;1,0801;-0,8457;2,9749;
IHFA;22/09/2008;1.027,28;-0,2108;-1,0547;2,7578;
IHFA;23/09/2008;1.022,66;-0,4497;-1,4997;2,2957;
IHFA;24/09/2008;1.021,83;-0,0812;-1,5796;2,2126;
IHFA;25/09/2008;1.025,29;0,3386;-1,2464;2,5587;
IHFA;26/09/2008;1.024,60;-0,0673;-1,3128;2,4897;
IHFA;29/09/2008;1.014,79;-0,9574;-2,2577;1,5084;
IHFA;30/09/2008;1.021,37;0,6484;-1,6239;2,1666;
IHFA;01/10/2008;1.022,46;0,1067;0,1067;2,2757;4,0661
IHFA;02/10/2008;1.016,76;-0,5575;-0,4514;1,7055;3,3209
IHFA;03/10/2008;1.014,67;-0,2056;-0,656;1,4964;3,1116
IHFA;06/10/2008;1.003,62;-1,089;-1,7379;0,3911;2,0364
IHFA;07/10/2008;999,9;-0,3707;-2,1021;0,019;1,6582
IHFA;08/10/2008;997,03;-0,287;-2,3831;-0,2681;1,211
IHFA;09/10/2008;997,18;0,015;-2,3684;-0,2531;1,2479
IHFA;10/10/2008;992,59;-0,4603;-2,8178;-0,7122;0,6857
IHFA;13/10/2008;1.004,67;1,217;-1,6351;0,4961;1,9587
IHFA;14/10/2008;1.007,70;0,3016;-1,3384;0,7992;2,2662
IHFA;15/10/2008;1.000,51;-0,7135;-2,0424;0,08;1,3719
IHFA;16/10/2008;998,97;-0,1539;-2,1931;-0,074;1,3987
IHFA;17/10/2008;1.000,24;0,1271;-2,0688;0,053;1,7
IHFA;20/10/2008;1.006,88;0,6638;-1,4187;0,7172;2,2338
IHFA;21/10/2008;1.007,04;0,0159;-1,403;0,7332;2,25
IHFA;22/10/2008;994,79;-1,2164;-2,6024;-0,4921;0,9119
IHFA;23/10/2008;990,81;-0,4001;-2,9921;-0,8903;0,7771
IHFA;24/10/2008;982,22;-0,867;-3,8331;-1,7495;-0,3581
IHFA;27/10/2008;979,58;-0,2688;-4,0916;-2,0136;-0,6259
IHFA;28/10/2008;989;0,9616;-3,1693;-1,0713;0,3297
IHFA;29/10/2008;993,47;0,452;-2,7316;-0,6242;0,456
IHFA;30/10/2008;1.000,32;0,6895;-2,061;0,061;0,8743
IHFA;31/10/2008;1.000,74;0,042;-2,0198;0,103;0,9258
IHFA;03/11/2008;1.004,01;0,3268;0,3268;0,4301;1,1699
IHFA;04/11/2008;1.008,83;0,4801;0,8084;0,9123;1,6556
IHFA;05/11/2008;1.004,92;-0,3876;0,4177;0,5212;1,2238
IHFA;06/11/2008;1.003,62;-0,1294;0,2878;0,3911;1,1153
IHFA;07/11/2008;1.007,05;0,3418;0,6305;0,7342;1,3935
IHFA;10/11/2008;1.007,44;0,0387;0,6695;0,7732;1,4419
IHFA;11/11/2008;1.008,68;0,1231;0,7934;0,8973;1,5668
IHFA;12/11/2008;1.004,49;-0,4154;0,3747;0,4781;1,2836
IHFA;13/11/2008;1.007,26;0,2758;0,6515;0,7552;1,7455
IHFA;14/11/2008;1.008,11;0,0844;0,7365;0,8402;1,9622
IHFA;17/11/2008;1.008,57;0,0456;0,7824;0,8863;1,7165
IHFA;18/11/2008;1.006,01;-0,2538;0,5266;0,6302;1,4583
IHFA;19/11/2008;1.005,52;-0,0487;0,4776;0,5812;1,4765
IHFA;20/11/2008;1.006,18;0,0656;0,5436;0,6472;1,7258
IHFA;21/11/2008;1.003,72;-0,2445;0,2978;0,4011;1,4617
IHFA;24/11/2008;1.008,16;0,4424;0,7415;0,8452;2,2319
IHFA;25/11/2008;1.009,94;0,1766;0,9193;1,0233;2,4124
IHFA;26/11/2008;1.013,59;0,3614;1,284;1,3884;2,7252
IHFA;27/11/2008;1.014,02;0,0424;1,327;1,4314;2,8001
IHFA;28/11/2008;1.017,84;0,3767;1,7087;1,8135;3,5074
IHFA;01/12/2008;1.015,46;-0,2338;-0,2338;1,5755;2,7658
IHFA;02/12/2008;1.017,81;0,2314;-0,0029;1,8105;3,0037
IHFA;03/12/2008;1.018,17;0,0354;0,0324;1,8465;2,7749
IHFA;04/12/2008;1.017,74;-0,0422;-0,0098;1,8035;2,6693
IHFA;05/12/2008;1.018,44;0,0688;0,0589;1,8735;2,8416
IHFA;08/12/2008;1.023,71;0,5175;0,5767;2,4007;3,0532
IHFA;09/12/2008;1.024,27;0,0547;0,6317;2,4567;3,1096
IHFA;10/12/2008;1.026,18;0,1865;0,8194;2,6478;3,1544
IHFA;11/12/2008;1.026,52;0,0331;0,8528;2,6818;3,2415
IHFA;12/12/2008;1.028,91;0,2328;1,0876;2,9208;3,3561
IHFA;15/12/2008;1.027,12;-0,174;0,9117;2,7418;3,5048
IHFA;16/12/2008;1.030,84;0,3622;1,2772;3,1139;3,8797
IHFA;17/12/2008;1.032,46;0,1572;1,4364;3,276;3,9246
IHFA;18/12/2008;1.035,31;0,276;1,7164;3,561;4,4291
IHFA;19/12/2008;1.035,52;0,0203;1,737;3,582;4,5811
IHFA;22/12/2008;1.034,55;-0,0937;1,6417;3,485;4,324
IHFA;23/12/2008;1.033,83;-0,0696;1,571;3,413;4,2514
IHFA;24/12/2008;1.034,29;0,0445;1,6162;3,459;4,1004
IHFA;26/12/2008;1.035,42;0,1093;1,7272;3,572;4,1785
IHFA;29/12/2008;1.036,22;0,0773;1,8058;3,6521;3,9005
IHFA;30/12/2008;1.037,33;0,1071;1,9148;3,7631;4,0118
IHFA;31/12/2008;1.037,86;0,0511;1,9669;3,8161;3,8161
IHFA;02/01/2009;1.042,60;0,4567;0,4567;0,4567;4,16
IHFA;05/01/2009;1.044,43;0,1755;0,633;0,633;4,2553
IHFA;06/01/2009;1.047,79;0,3217;0,9568;0,9568;4,5907
IHFA;07/01/2009;1.046,27;-0,1451;0,8103;0,8103;4,5361
IHFA;08/01/2009;1.049,51;0,3097;1,1225;1,1225;4,7164
IHFA;09/01/2009;1.051,93;0,2306;1,3557;1,3557;5,0092
IHFA;12/01/2009;1.049,66;-0,2158;1,137;1,137;4,6395
IHFA;13/01/2009;1.051,83;0,2067;1,346;1,346;4,8558
IHFA;14/01/2009;1.048,65;-0,3023;1,0396;1,0396;4,5128
IHFA;15/01/2009;1.051,13;0,2365;1,2786;1,2786;4,9304
IHFA;16/01/2009;1.053,30;0,2064;1,4877;1,4877;5,3353
IHFA;19/01/2009;1.053,23;-0,0066;1,4809;1,4809;5,5415
IHFA;20/01/2009;1.052,86;-0,0351;1,4453;1,4453;5,5044
IHFA;21/01/2009;1.056,40;0,3362;1,7864;1,7864;6,4115
IHFA;22/01/2009;1.056,70;0,0284;1,8153;1,8153;6,2448
IHFA;23/01/2009;1.058,55;0,1751;1,9935;1,9935;6,6689
IHFA;26/01/2009;1.059,15;0,0567;2,0513;2,0513;6,2454
IHFA;27/01/2009;1.059,91;0,0718;2,1246;2,1246;6,3217
IHFA;28/01/2009;1.061,88;0,1859;2,3144;2,3144;6,5428
IHFA;29/01/2009;1.059,51;-0,2232;2,086;2,086;6,1335
IHFA;30/01/2009;1.059,56;0,0047;2,0908;2,0908;6,1322
IHFA;02/02/2009;1.060,15;0,0557;0,0557;2,1477;5,9303
IHFA;03/02/2009;1.061,38;0,116;0,1718;2,2662;6,0532
IHFA;04/02/2009;1.062,04;0,0622;0,2341;2,3298;6,1191
IHFA;05/02/2009;1.063,96;0,1808;0,4153;2,5148;6,311
IHFA;06/02/2009;1.067,07;0,2923;0,7088;2,8144;6,6164
IHFA;09/02/2009;1.067,18;0,0103;0,7192;2,825;6,5316
IHFA;10/02/2009;1.067,21;0,0028;0,722;2,8279;6,5346
IHFA;11/02/2009;1.067,00;-0,0197;0,7022;2,8077;6,3968
IHFA;12/02/2009;1.066,72;-0,0262;0,6758;2,7807;6,1635
IHFA;13/02/2009;1.068,48;0,165;0,8419;2,9503;6,3132
IHFA;16/02/2009;1.069,63;0,1076;0,9504;3,0611;6,342
IHFA;17/02/2009;1.068,18;-0,1356;0,8135;2,9214;6,1978
IHFA;18/02/2009;1.069,00;0,0768;0,8909;3,0004;5,9969
IHFA;19/02/2009;1.069,83;0,0776;0,9693;3,0804;5,8693
IHFA;20/02/2009;1.069,39;-0,0411;0,9277;3,038;5,7974
IHFA;25/02/2009;1.069,53;0,0131;0,941;3,0515;5,5086
IHFA;26/02/2009;1.070,07;0,0505;0,9919;3,1035;5,5837
IHFA;27/02/2009;1.071,63;0,1458;1,1392;3,2538;5,6907
IHFA;02/03/2009;1.068,94;-0,251;-0,251;2,9946;5,2521
IHFA;03/03/2009;1.069,03;0,0084;-0,2426;3,0033;5,2278
IHFA;04/03/2009;1.071,51;0,232;-0,0112;3,2422;5,5467
IHFA;05/03/2009;1.070,54;-0,0905;-0,1017;3,1488;5,307
IHFA;06/03/2009;1.072,75;0,2064;0,1045;3,3617;5,5919
IHFA;09/03/2009;1.073,34;0,055;0,1596;3,4186;5,778
IHFA;10/03/2009;1.076,59;0,3028;0,4628;3,7317;6,4013
IHFA;11/03/2009;1.077,05;0,0427;0,5058;3,776;6,4521
IHFA;12/03/2009;1.078,34;0,1198;0,6261;3,9003;6,4638
IHFA;13/03/2009;1.078,53;0,0176;0,6439;3,9186;6,9546
IHFA;16/03/2009;1.079,15;0,0575;0,7017;3,9784;7,1734
IHFA;17/03/2009;1.080,35;0,1112;0,8137;4,094;7,5585
IHFA;18/03/2009;1.082,04;0,1564;0,9714;4,2568;7,4668
IHFA;19/03/2009;1.083,84;0,1664;1,1394;4,4303;7,9038
IHFA;20/03/2009;1.084,17;0,0304;1,1702;4,4621;8,1887
IHFA;23/03/2009;1.086,95;0,2564;1,4296;4,7299;8,4661
IHFA;24/03/2009;1.086,30;-0,0598;1,3689;4,6673;8,4424
IHFA;25/03/2009;1.086,31;0,0009;1,3699;4,6683;8,6049
IHFA;26/03/2009;1.088,09;0,1639;1,536;4,8398;8,7253
IHFA;27/03/2009;1.087,33;-0,0698;1,4651;4,7665;8,6656
IHFA;30/03/2009;1.086,23;-0,1012;1,3624;4,6606;8,5741
IHFA;31/03/2009;1.086,56;0,0304;1,3932;4,6923;8,656
IHFA;01/04/2009;1.089,98;0,3148;0,3148;5,0219;8,9261
IHFA;02/04/2009;1.093,18;0,2936;0,6093;5,3302;9,0563
IHFA;03/04/2009;1.096,41;0,2955;0,9065;5,6414;9,1531
IHFA;06/04/2009;1.097,62;0,1104;1,0179;5,758;9,1985
IHFA;07/04/2009;1.098,77;0,1048;1,1237;5,8688;9,1891
IHFA;08/04/2009;1.101,62;0,2594;1,386;6,1434;9,4484
IHFA;09/04/2009;1.105,27;0,3313;1,7219;6,4951;9,6901
IHFA;13/04/2009;1.105,72;0,0407;1,7634;6,5385;9,6488
IHFA;14/04/2009;1.103,87;-0,1673;1,5931;6,3602;9,5337
IHFA;15/04/2009;1.105,42;0,1404;1,7358;6,5095;9,6005
IHFA;16/04/2009;1.107,31;0,171;1,9097;6,6917;9,6531
IHFA;17/04/2009;1.106,99;-0,0289;1,8802;6,6608;9,5216
IHFA;20/04/2009;1.104,57;-0,2186;1,6575;6,4276;9,2476
IHFA;22/04/2009;1.106,83;0,2046;1,8655;6,6454;9,3511
IHFA;23/04/2009;1.107,31;0,0434;1,9097;6,6917;9,2916
IHFA;24/04/2009;1.110,91;0,3251;2,241;7,0385;9,6729
IHFA;27/04/2009;1.111,54;0,0567;2,299;7,0992;9,7297
IHFA;28/04/2009;1.113,54;0,1799;2,4831;7,2919;9,9847
IHFA;29/04/2009;1.117,63;0,3673;2,8595;7,686;10,2993
IHFA;30/04/2009;1.118,67;0,0931;2,9552;7,7862;10,2105
IHFA;04/05/2009;1.123,50;0,4318;0,4318;8,2516;10,1287
IHFA;05/05/2009;1.122,96;-0,0481;0,3835;8,1996;10,0596
IHFA;06/05/2009;1.126,37;0,3037;0,6883;8,5281;10,3343
IHFA;07/05/2009;1.126,87;0,0444;0,733;8,5763;10,4125
IHFA;08/05/2009;1.131,56;0,4162;1,1523;9,0282;10,6768
IHFA;11/05/2009;1.132,74;0,1043;1,2577;9,1419;10,671
IHFA;12/05/2009;1.133,07;0,0291;1,2872;9,1737;10,5531
IHFA;13/05/2009;1.131,08;-0,1756;1,1094;8,9819;10,2471
IHFA;14/05/2009;1.134,12;0,2688;1,3811;9,2749;10,5639
IHFA;15/05/2009;1.134,01;-0,0097;1,3713;9,2643;10,5284
IHFA;18/05/2009;1.138,75;0,418;1,795;9,721;10,8564
IHFA;19/05/2009;1.140,27;0,1335;1,9309;9,8674;10,8511
IHFA;20/05/2009;1.140,55;0,0246;1,9559;9,8944;10,8395
IHFA;21/05/2009;1.138,03;-0,2209;1,7306;9,6516;10,6269
IHFA;22/05/2009;1.139,82;0,1573;1,8906;9,8241;10,8009
IHFA;25/05/2009;1.141,14;0,1158;2,0086;9,9512;10,8054
IHFA;26/05/2009;1.141,03;-0,0096;1,9988;9,9406;10,714
IHFA;27/05/2009;1.142,89;0,163;2,1651;10,1199;10,9591
IHFA;28/05/2009;1.143,91;0,0892;2,2563;10,2181;10,858
IHFA;29/05/2009;1.144,99;0,0944;2,3528;10,3222;10,94
IHFA;01/06/2009;1.147,03;0,1782;0,1782;10,5188;10,9324
IHFA;02/06/2009;1.148,60;0,1369;0,3153;10,67;10,9962
IHFA;03/06/2009;1.147,66;-0,0818;0,2332;10,5795;10,8915
IHFA;04/06/2009;1.149,78;0,1847;0,4183;10,7837;11,2188
IHFA;05/06/2009;1.149,73;-0,0043;0,414;10,7789;10,8922
IHFA;08/06/2009;1.149,27;-0,04;0,3738;10,7346;10,7837
IHFA;09/06/2009;1.148,97;-0,0261;0,3476;10,7057;10,6343
IHFA;10/06/2009;1.149,55;0,0505;0,3983;10,7616;10,7637
IHFA;12/06/2009;1.154,22;0,4062;0,8061;11,2115;11,0884
IHFA;15/06/2009;1.153,54;-0,0589;0,7467;11,146;10,9589
IHFA;16/06/2009;1.153,49;-0,0043;0,7424;11,1412;10,8475
IHFA;17/06/2009;1.153,05;-0,0381;0,7039;11,0988;10,7169
IHFA;18/06/2009;1.153,06;0,0009;0,7048;11,0998;10,7391
IHFA;19/06/2009;1.154,01;0,0824;0,7878;11,1913;10,8836
IHFA;22/06/2009;1.152,29;-0,149;0,6376;11,0256;10,811
IHFA;23/06/2009;1.154,86;0,223;0,862;11,2732;11,0186
IHFA;24/06/2009;1.155,51;0,0563;0,9188;11,3358;11,0523
IHFA;25/06/2009;1.156,30;0,0684;0,9878;11,4119;10,9256
IHFA;26/06/2009;1.157,32;0,0882;1,0769;11,5102;11,1344
IHFA;29/06/2009;1.158,54;0,1054;1,1834;11,6278;11,2088
IHFA;30/06/2009;1.159,56;0,088;1,2725;11,7261;11,1392
IHFA;01/07/2009;1.162,21;0,2285;0,2285;11,9814;11,5119
IHFA;02/07/2009;1.163,03;0,0706;0,2993;12,0604;11,8599
IHFA;03/07/2009;1.164,52;0,1281;0,4277;12,204;12,0668
IHFA;06/07/2009;1.165,64;0,0962;0,5243;12,3119;12,1746
IHFA;07/07/2009;1.164,56;-0,0927;0,4312;12,2078;11,9737
IHFA;08/07/2009;1.164,69;0,0112;0,4424;12,2203;12,0476
IHFA;09/07/2009;1.164,82;0,0112;0,4536;12,2329;12,0062
IHFA;10/07/2009;1.166,75;0,1657;0,6201;12,4188;12,1789
IHFA;13/07/2009;1.167,92;0,1003;0,721;12,5316;12,3324
IHFA;14/07/2009;1.167,66;-0,0223;0,6985;12,5065;12,1521
IHFA;15/07/2009;1.170,56;0,2484;0,9486;12,7859;12,4122
IHFA;16/07/2009;1.171,43;0,0743;1,0237;12,8698;12,4429
IHFA;17/07/2009;1.172,33;0,0768;1,1013;12,9565;12,7598
IHFA;20/07/2009;1.174,11;0,1518;1,2548;13,128;12,9636
IHFA;21/07/2009;1.173,98;-0,0111;1,2436;13,1154;12,8306
IHFA;22/07/2009;1.174,35;0,0315;1,2755;13,1511;12,9378
IHFA;23/07/2009;1.175,84;0,1269;1,404;13,2947;13,1181
IHFA;24/07/2009;1.177,07;0,1046;1,5101;13,4132;13,4482
IHFA;27/07/2009;1.178,09;0,0867;1,598;13,5115;13,5333
IHFA;28/07/2009;1.179,13;0,0883;1,6877;13,6117;13,5591
IHFA;29/07/2009;1.178,94;-0,0161;1,6713;13,5934;13,4098
IHFA;30/07/2009;1.180,92;0,1679;1,8421;13,7841;13,2636
IHFA;31/07/2009;1.183,12;0,1863;2,0318;13,9961;13,4496
IHFA;03/08/2009;1.186,01;0,2443;0,2443;14,2746;13,9397
IHFA;04/08/2009;1.186,89;0,0742;0,3186;14,3594;14,388
IHFA;05/08/2009;1.188,82;0,1626;0,4818;14,5453;14,5431
IHFA;06/08/2009;1.188,88;0,005;0,4868;14,5511;14,3781
IHFA;07/08/2009;1.190,49;0,1354;0,6229;14,7062;14,6201
IHFA;10/08/2009;1.190,74;0,021;0,6441;14,7303;14,7027
IHFA;11/08/2009;1.189,90;-0,0705;0,5731;14,6494;14,8441
IHFA;12/08/2009;1.190,67;0,0647;0,6381;14,7236;14,9873
IHFA;13/08/2009;1.190,35;-0,0269;0,6111;14,6927;15,0664
IHFA;14/08/2009;1.190,25;-0,0084;0,6026;14,6831;14,9678
IHFA;17/08/2009;1.188,07;-0,1832;0,4184;14,4731;14,786
IHFA;18/08/2009;1.190,14;0,1742;0,5933;14,6725;15,0861
IHFA;19/08/2009;1.191,18;0,0874;0,6812;14,7727;15,1054
IHFA;20/08/2009;1.192,76;0,1326;0,8148;14,9249;14,9704
IHFA;21/08/2009;1.194,59;0,1534;0,9695;15,1013;15,0436
IHFA;24/08/2009;1.195,18;0,0494;1,0193;15,1581;15,0761
IHFA;25/08/2009;1.195,58;0,0335;1,0531;15,1967;15,3589
IHFA;26/08/2009;1.196,52;0,0786;1,1326;15,2872;15,4363
IHFA;27/08/2009;1.197,35;0,0694;1,2028;15,3672;15,4362
IHFA;28/08/2009;1.197,85;0,0418;1,245;15,4154;15,3687
IHFA;31/08/2009;1.197,57;-0,0234;1,2213;15,3884;15,3473
IHFA;01/09/2009;1.196,43;-0,0952;-0,0952;15,2786;15,2408
IHFA;02/09/2009;1.197,41;0,0819;-0,0134;15,373;15,482
IHFA;03/09/2009;1.198,72;0,1094;0,096;15,4992;15,777
IHFA;04/09/2009;1.201,52;0,2336;0,3298;15,769;16,4354
IHFA;08/09/2009;1.204,10;0,2147;0,5453;16,0176;16,6718
IHFA;09/09/2009;1.204,71;0,0507;0,5962;16,0763;17,1191
IHFA;10/09/2009;1.206,65;0,161;0,7582;16,2633;17,0823
IHFA;11/09/2009;1.207,09;0,0365;0,7949;16,3057;16,9434
IHFA;14/09/2009;1.208,73;0,1359;0,9319;16,4637;16,8747
IHFA;15/09/2009;1.209,92;0,0985;1,0313;16,5783;17,7824
IHFA;16/09/2009;1.211,47;0,1281;1,1607;16,7277;18,1553
IHFA;17/09/2009;1.211,36;-0,0091;1,1515;16,7171;18,9824
IHFA;18/09/2009;1.212,65;0,1065;1,2592;16,8414;19,0682
IHFA;21/09/2009;1.213,16;0,0421;1,3018;16,8905;17,8455
IHFA;22/09/2009;1.214,17;0,0833;1,3861;16,9878;18,1927
IHFA;23/09/2009;1.214,13;-0,0033;1,3828;16,984;18,7227
IHFA;24/09/2009;1.213,32;-0,0667;1,3152;16,9059;18,7399
IHFA;25/09/2009;1.213,70;0,0313;1,3469;16,9426;18,3763
IHFA;28/09/2009;1.215,12;0,117;1,4655;17,0794;18,5946
IHFA;29/09/2009;1.215,11;-0,0008;1,4646;17,0784;19,74
IHFA;30/09/2009;1.216,85;0,1432;1,6099;17,2461;19,139
IHFA;01/10/2009;1.216,13;-0,0592;-0,0592;17,1767;18,9416
IHFA;02/10/2009;1.217,48;0,111;0,0518;17,3068;19,7411
IHFA;05/10/2009;1.220,09;0,2144;0,2663;17,5582;20,245
IHFA;06/10/2009;1.221,38;0,1057;0,3723;17,6825;21,6975
IHFA;07/10/2009;1.222,32;0,077;0,4495;17,7731;22,2442
IHFA;08/10/2009;1.223,55;0,1006;0,5506;17,8916;22,7195
IHFA;09/10/2009;1.224,12;0,0466;0,5974;17,9465;22,7582
IHFA;13/10/2009;1.225,00;0,0719;0,6698;18,0313;21,9306
IHFA;14/10/2009;1.225,59;0,0482;0,7182;18,0882;21,6225
IHFA;15/10/2009;1.227,07;0,1208;0,8399;18,2308;22,6445
IHFA;16/10/2009;1.226,92;-0,0122;0,8275;18,2163;22,8185
IHFA;19/10/2009;1.227,61;0,0562;0,8843;18,2828;22,7315
IHFA;20/10/2009;1.225,48;-0,1735;0,7092;18,0776;21,7106
IHFA;21/10/2009;1.226,89;0,1151;0,8251;18,2134;21,8313
IHFA;22/10/2009;1.227,02;0,0106;0,8358;18,226;23,3446
IHFA;23/10/2009;1.226,85;-0,0139;0,8218;18,2096;23,8229
IHFA;26/10/2009;1.226,83;-0,0016;0,8202;18,2077;24,9038
IHFA;27/10/2009;1.226,02;-0,066;0,7536;18,1296;25,1577
IHFA;28/10/2009;1.224,19;-0,1493;0,6032;17,9533;23,7806
IHFA;29/10/2009;1.227,43;0,2647;0,8695;18,2655;23,5498
IHFA;30/10/2009;1.226,97;-0,0375;0,8317;18,2211;22,6577
IHFA;03/11/2009;1.228,34;0,1117;0,1117;18,3531;22,3434
IHFA;04/11/2009;1.229,45;0,0904;0,2021;18,4601;21,8689
IHFA;05/11/2009;1.230,68;0,1;0,3024;18,5786;22,4655
IHFA;06/11/2009;1.230,93;0,0203;0,3227;18,6027;22,649
IHFA;09/11/2009;1.232,94;0,1633;0,4866;18,7964;22,4309
IHFA;10/11/2009;1.233,00;0,0049;0,4915;18,8022;22,3894
IHFA;11/11/2009;1.233,43;0,0349;0,5265;18,8436;22,2816
IHFA;12/11/2009;1.233,18;-0,0203;0,5061;18,8195;22,7668
IHFA;13/11/2009;1.233,75;0,0462;0,5526;18,8744;22,4858
IHFA;16/11/2009;1.234,55;0,0648;0,6178;18,9515;22,4618
IHFA;17/11/2009;1.235,23;0,0551;0,6732;19,017;22,4734
IHFA;18/11/2009;1.235,71;0,0389;0,7123;19,0633;22,8328
IHFA;19/11/2009;1.236,26;0,0445;0,7571;19,1163;22,9473
IHFA;20/11/2009;1.236,49;0,0186;0,7759;19,1384;22,8895
IHFA;23/11/2009;1.237,02;0,0429;0,8191;19,1895;23,2435
IHFA;24/11/2009;1.237,37;0,0283;0,8476;19,2232;22,7355
IHFA;25/11/2009;1.238,08;0,0574;0,9055;19,2916;22,5895
IHFA;26/11/2009;1.238,14;0,0048;0,9104;19,2974;22,1539
IHFA;27/11/2009;1.238,98;0,0678;0,9788;19,3783;22,185
IHFA;30/11/2009;1.240,99;0,1622;1,1427;19,572;21,9239
IHFA;01/12/2009;1.241,91;0,0741;0,0741;19,6606;22,3002
IHFA;02/12/2009;1.242,61;0,0564;0,1305;19,7281;22,0866
IHFA;03/12/2009;1.242,76;0,0121;0,1426;19,7425;22,0582
IHFA;04/12/2009;1.243,60;0,0676;0,2103;19,8235;22,1923
IHFA;07/12/2009;1.244,34;0,0595;0,2699;19,8948;22,181
IHFA;08/12/2009;1.244,42;0,0064;0,2764;19,9025;21,5598
IHFA;09/12/2009;1.244,00;-0,0338;0,2425;19,862;21,4524
IHFA;10/12/2009;1.245,33;0,1069;0,3497;19,9902;21,3559
IHFA;11/12/2009;1.246,73;0,1124;0,4625;20,1251;21,4521
IHFA;14/12/2009;1.247,26;0,0425;0,5052;20,1761;21,2215
IHFA;15/12/2009;1.248,46;0,0962;0,6019;20,2918;21,5496
IHFA;16/12/2009;1.249,33;0,0697;0,672;20,3756;21,1953
IHFA;17/12/2009;1.250,15;0,0656;0,7381;20,4546;21,0846
IHFA;18/12/2009;1.250,60;0,036;0,7744;20,4979;20,7947
IHFA;21/12/2009;1.251,15;0,044;0,8187;20,5509;20,8234
IHFA;22/12/2009;1.252,26;0,0887;0,9081;20,6579;21,0439
IHFA;23/12/2009;1.252,23;-0,0024;0,9057;20,655;21,1253
IHFA;24/12/2009;1.252,52;0,0232;0,9291;20,6829;21,0995
IHFA;28/12/2009;1.252,92;0,0319;0,9613;20,7215;21,006
IHFA;29/12/2009;1.253,15;0,0184;0,9799;20,7436;20,9347
